id,Dia,Manera_de_la_muerte,Arma,Edad,Genero,Raza,Ciudad,Estado,Signos_de_enfermedades_mentales,Nivel_de_amenaza,flee,Categoria_de_armas
3061,2017-10-22,shot,unarmed,30.0,M,Native,Crandon,WI,False,attack,Not fleeing,Unarmed
3062,2017-10-23,shot,gun,35.0,M,Hispanic,Lodi,CA,False,attack,Not fleeing,Guns
3064,2017-10-23,shot,gun,31.0,F,White,Shelbyville,KY,True,other,Not fleeing,Guns
3069,2017-10-23,shot,unknown,35.0,M,Native,Standing Rock Reservation,ND,False,other,Car,Unknown
3066,2017-10-24,shot,unarmed,37.0,M,White,Plymouth Township,PA,False,attack,Not fleeing,Unarmed
3067,2017-10-24,shot,gun,25.0,M,White,Norwich,CT,False,attack,Foot,Guns
3065,2017-10-24,shot and Tasered,screwdriver,34.0,M,Hispanic,Houston,TX,False,other,Not fleeing,Piercing objects
3068,2017-10-25,shot,gun,33.0,M,Black,St. Petersburg,FL,False,attack,Not fleeing,Guns
3070,2017-10-25,shot,gun,33.0,M,Black,Cleveland,OH,False,attack,Foot,Guns
3071,2017-10-26,shot,gun,32.0,M,White,Fairhope,AL,False,attack,Other,Guns
3073,2017-10-26,shot,gun,34.0,M,White,Horseheads,NY,False,attack,Car,Guns
3074,2017-10-27,shot,machete,46.0,M,Black,Indiantown,FL,True,other,Not fleeing,Sharp objects
3075,2017-10-28,shot,gun and car,40.0,M,Hispanic,Greeley,CO,False,attack,Car,Multiple
3076,2017-10-28,shot,gun,27.0,M,Native,Black River Falls,WI,False,other,Car,Guns
3077,2017-10-28,shot,knife,17.0,M,Hispanic,Polk County,OR,False,other,Car,Sharp objects
3078,2017-10-29,shot,gun,46.0,M,Black,Tate County,MS,False,attack,Car,Guns
3080,2017-10-29,shot,gun,50.0,M,White,Centennial,CO,False,attack,Not fleeing,Guns
3107,2017-10-29,shot,knife,41.0,M,White,New Castle,IN,False,attack,Not fleeing,Sharp objects
3205,2017-10-29,shot,unknown,23.0,M,Black,King of Prussia,PA,False,other,Not fleeing,Unknown
3079,2017-10-30,shot,gun,33.0,M,Native,Federal Way,WA,False,attack,Not fleeing,Guns
3081,2017-10-31,shot,knife,25.0,M,Hispanic,Sunnyvale,CA,False,attack,Not fleeing,Sharp objects
3082,2017-10-31,shot,unknown,27.0,M,Black,Riverside,CA,False,other,Not fleeing,Unknown
3085,2017-10-31,shot,gun,39.0,M,White,Livingston,TN,False,attack,Not fleeing,Guns
3086,2017-10-31,shot,gun,22.0,M,Black,Arlington,TX,False,attack,Not fleeing,Guns
3087,2017-10-31,shot,ax,37.0,F,White,Las Cruces,NM,True,other,Not fleeing,Blunt instruments
3088,2017-11-01,shot,gun,27.0,M,Hispanic,Anniston,AL,False,attack,Not fleeing,Guns
3089,2017-11-01,shot,unknown,28.0,M,White,Pippa Passes,KY,False,attack,Car,Unknown
3090,2017-11-02,shot,pitchfork,56.0,M,White,Sacramento,CA,True,attack,Not fleeing,Piercing objects
3091,2017-11-02,shot,gun,71.0,M,White,Lakeland,FL,True,attack,Not fleeing,Guns
3097,2017-11-03,shot,gun and car,53.0,M,White,Port Orange,FL,False,attack,Car,Multiple
3105,2017-11-03,shot,gun and car,39.0,M,White,Ohatchee,AL,False,attack,Car,Multiple
3093,2017-11-04,shot,knife,56.0,M,Asian,Clarksville,AR,False,attack,Not fleeing,Sharp objects
3096,2017-11-04,shot,gun,24.0,M,Black,Columbus,MS,False,other,Not fleeing,Guns
3099,2017-11-04,shot,gun,35.0,M,White,Parker,CO,False,attack,Other,Guns
3100,2017-11-04,shot,gun,30.0,M,Native,Billings,MT,False,attack,Other,Guns
3102,2017-11-04,shot,gun,31.0,M,White,Owen County,IN,True,attack,Not fleeing,Guns
3103,2017-11-04,shot,gun,20.0,M,Black,Bakersfield,CA,False,undetermined,Foot,Guns
3095,2017-11-05,shot,gun,35.0,M,White,Meridian,MS,False,attack,Not fleeing,Guns
3108,2017-11-05,shot,unknown,31.0,F,Hispanic,Rudioso,NM,False,attack,Not fleeing,Unknown
3111,2017-11-05,shot,unknown,49.0,M,Black,Rockford,IL,False,undetermined,Car,Unknown
3109,2017-11-06,shot,knife,54.0,F,White,Lynchburg,VA,True,other,Not fleeing,Sharp objects
3112,2017-11-06,shot,gun,48.0,M,White,Barstow,CA,False,attack,Car,Guns
3106,2017-11-07,shot,gun,32.0,F,White,Marietta,GA,True,attack,Not fleeing,Guns
